year,site_id,rain,pot_evap,act_evap,grow_days,deg_days,dry_days_upper,dry_days_base,flood_days
0,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,29.33899180574751,4.761904761904773,0
1,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,28.997004408886568,4.761904761904773,0
2,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,28.65246529057761,4.761904761904773,0
3,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,28.305346967051065,4.761904761904773,0
4,1,0.02771689497716895,0.4470569880075878,0.36957995999022486,270,3705.0,27.95562156044423,4.761904761904773,0
5,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,27.60326079171557,4.761904761904773,0
6,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,27.248235973405542,4.761904761904773,0
7,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,26.890518002240015,4.761904761904773,0
8,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,26.530077351572473,4.761904761904773,0
9,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,26.16688406366076,4.761904761904773,0
10,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,25.800907741774026,4.761904761904773,0
11,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,25.432117542125866,4.761904761904773,0
12,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,25.060482165628656,4.761904761904773,0
13,1,0.027671232876712325,0.4470569880075878,0.3696254811582727,270,3705.0,24.685969849464854,4.761904761904773,0
14,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,24.308548358470404,4.761904761904773,0
15,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,23.928184976325213,4.761904761904773,0
16,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,23.544846496545745,4.761904761904773,0
17,1,0.027671232876712325,0.4470569880075878,0.3696254811582727,270,3705.0,23.158499213274595,4.761904761904773,0
18,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,22.769108911861466,4.761904761904773,0
19,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,22.376640859230378,4.761904761904773,0
20,1,0.028493150684931506,0.4470569880075878,0.3688061001334122,270,3705.0,21.981059794026848,4.761904761904773,0
